
# Surface 0 of 1 surfaces

# Curve title: "(30*1000+50*y + 8.314*2.30*y*x) / 1000"

# IsoCurve 0, 50 points
# x y z type
9.5008163e+02 -1.4400000e+01 -2.3233417e+02 i
9.6638776e+02 -1.4400000e+01 -2.3682422e+02 i
9.8269388e+02 -1.4400000e+01 -2.4131427e+02 i
9.9900000e+02 -1.4400000e+01 -2.4580432e+02 i

# IsoCurve 8, 50 points
# x y z type
2.0000000e+02 -1.3600000e+01 -2.2692384e+01 i
2.1630612e+02 -1.3600000e+01 -2.6932986e+01 i
2.3261224e+02 -1.3600000e+01 -3.1173587e+01 i
2.4891837e+02 -1.3600000e+01 -3.5414189e+01 i
2.6522449e+02 -1.3600000e+01 -3.9654790e+01 i
2.8153061e+02 -1.3600000e+01 -4.3895392e+01 i
2.9783673e+02 -1.3600000e+01 -4.8135993e+01 i
3.1414286e+02 -1.3600000e+01 -5.2376595e+01 i
3.3044898e+02 -1.3600000e+01 -5.6617196e+01 i
3.4675510e+02 -1.3600000e+01 -6.0857798e+01 i
3.6306122e+02 -1.3600000e+01 -6.5098399e+01 i
3.7936735e+02 -1.3600000e+01 -6.9339001e+01 i
3.9567347e+02 -1.3600000e+01 -7.3579602e+01 i
4.1197959e+02 -1.3600000e+01 -7.7820204e+01 i
4.2828571e+02 -1.3600000e+01 -8.2060805e+01 i
4.4459184e+02 -1.3600000e+01 -8.6301407e+01 i
4.6089796e+02 -1.3600000e+01 -9.0542008e+01 i
4.7720408e+02 -1.3600000e+01 -9.4782610e+01 i
4.9351020e+02 -1.3600000e+01 -9.9023211e+01 i
5.0981633e+02 -1.3600000e+01 -1.0326381e+02 i
5.2612245e+02 -1.3600000e+01 -1.0750441e+02 i
5.4242857e+02 -1.3600000e+01 -1.1174502e+02 i
5.5873469e+02 -1.3600000e+01 -1.1598562e+02 i
5.7504082e+02 -1.3600000e+01 -1.2022622e+02 i
5.9134694e+02 -1.3600000e+01 -1.2446682e+02 i
6.0765306e+02 -1.3600000e+01 -1.2870742e+02 i
6.2395918e+02 -1.3600000e+01 -1.3294802e+02 i
6.4026531e+02 -1.3600000e+01 -1.3718862e+02 i
6.5657143e+02 -1.3600000e+01 -1.4142923e+02 i
6.7287755e+02 -1.3600000e+01 -1.4566983e+02 i
6.8918367e+02 -1.3600000e+01 -1.4991043e+02 i
7.0548980e+02 -1.3600000e+01 -1.5415103e+02 i
7.2179592e+02 -1.3600000e+01 -1.5839163e+02 i
7.3810204e+02 -1.3600000e+01 -1.6263223e+02 i
